collision_year_x,vehicle_type,towing_and_articulation,vehicle_manoeuvre_historic,vehicle_manoeuvre,vehicle_direction_from,vehicle_direction_to,vehicle_location_restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,first_point_of_impact,vehicle_left_hand_drive,journey_purpose_of_driver_historic,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_cc,propulsion_code,age_of_vehicle,driver_imd_decile,escooter_flag,driver_distance_banding,collision_year_y,police_force,number_of_vehicles,number_of_casualties,day_of_week,local_authority_district,first_road_class,first_road_number,road_type,speed_limit,junction_detail_historic,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control_historic,pedestrian_crossing_physical_facilities_historic,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards_historic,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,collision_injury_based,high_risk,hour,month
2024,9,-1,-1,19,5,1,0,0,0,0,0,0,1,9,-1,6,2,21,5,1998,2,6,6,0,2,2024,50,2,1,5,-1,3,30,6,40,-1,0,-1,-1,-1,-1,-1,0,1,1,1,-1,-1,0,2,3,1,1,0,17,5
2024,9,0,-1,7,7,3,0,4,0,0,0,0,1,1,-1,6,2,19,4,1193,1,9,-1,0,-1,2024,10,2,1,6,-1,3,1167,1,30,-1,-1,4,6,0,-1,-1,17,4,1,2,-1,-1,0,1,1,2,1,0,23,10
2024,9,0,-1,19,3,7,0,1,1,7,0,0,1,9,-1,6,1,21,5,1193,1,10,5,0,2,2024,14,1,4,7,-1,4,6068,6,40,-1,13,4,6,0,-1,-1,0,1,1,1,-1,-1,0,1,1,2,1,1,5,8
2024,9,0,9,9,6,4,0,8,0,0,0,0,1,1,6,6,1,24,5,995,1,17,6,0,1,2024,62,2,1,5,-1,4,4273,6,20,3,13,4,6,0,0,0,0,1,1,1,0,0,0,2,1,-1,0,1,10,10
2024,9,0,-1,7,1,3,0,4,0,0,0,0,2,1,-1,6,2,19,4,796,1,17,2,0,1,2024,50,2,1,6,-1,3,390,1,30,-1,-1,4,3,390,-1,-1,0,4,2,2,-1,-1,0,1,1,2,1,0,18,12
2024,9,0,-1,19,1,5,0,0,0,0,6,9,1,1,-1,9,1,19,4,995,1,15,2,0,3,2024,13,1,1,5,-1,3,6024,6,40,-1,0,-1,6,0,-1,-1,0,1,7,2,-1,-1,0,2,1,2,1,0,16,5
2024,9,0,-1,19,8,3,0,1,0,0,0,0,1,1,-1,2,1,18,4,995,1,16,3,0,1,2024,20,2,2,1,-1,6,0,6,30,-1,13,4,6,0,-1,-1,0,1,1,1,-1,-1,0,1,1,2,1,0,13,5
2024,9,0,9,9,1,7,0,8,0,0,0,0,1,1,6,6,1,19,4,796,1,15,2,0,1,2024,52,2,1,3,-1,6,0,6,30,3,13,4,6,0,0,0,0,1,1,1,0,0,0,1,1,2,0,0,18,7
2024,9,0,18,19,4,8,0,2,5,0,1,9,1,1,6,6,1,18,4,995,1,16,7,0,3,2024,55,1,1,7,-1,3,351,6,60,3,13,4,6,0,0,0,0,6,4,2,0,0,0,2,1,2,0,0,19,12
2024,9,0,-1,4,6,4,0,4,0,0,0,0,2,1,-1,9,2,18,4,995,1,16,1,0,1,2024,21,2,1,7,-1,4,5039,1,30,-1,-1,4,3,5272,-1,-1,0,1,9,1,-1,-1,0,2,3,2,1,0,13,2
2024,9,0,-1,9,3,7,0,5,0,0,0,0,2,1,-1,6,1,20,4,995,1,16,4,0,3,2024,14,2,1,3,-1,4,6098,6,30,-1,13,4,6,0,-1,-1,0,1,1,1,-1,-1,0,1,2,2,1,0,8,1
2024,9,0,-1,19,3,7,0,0,2,0,7,11,4,1,-1,9,1,18,4,1597,1,27,8,0,1,2024,40,1,2,5,-1,6,0,6,50,-1,0,-1,6,0,-1,-1,0,6,1,2,-1,-1,15,2,3,2,1,0,11,10
2024,3,0,-1,5,4,8,0,8,5,0,0,0,2,1,-1,6,1,19,4,125,1,3,1,0,1,2024,20,2,1,3,-1,3,45,3,40,-1,13,2,6,0,-1,-1,14,1,1,1,-1,-1,0,1,2,2,1,0,12,11
2024,3,0,-1,19,3,7,0,0,0,0,0,0,1,1,-1,6,1,23,5,125,1,4,1,0,1,2024,4,1,3,2,-1,6,0,6,20,-1,0,-1,6,0,-1,-1,0,1,1,2,-1,-1,0,1,1,2,1,0,15,12
2024,5,0,18,19,5,1,0,1,0,0,0,0,1,1,6,6,1,25,5,853,1,1,-1,0,-1,2024,5,2,1,2,-1,3,552,6,30,3,13,4,6,0,0,0,0,1,1,1,0,0,0,1,1,2,0,1,20,6
2024,9,0,-1,19,6,2,0,0,0,0,0,0,1,1,-1,9,1,21,5,1390,1,22,-1,0,-1,2024,20,2,7,4,-1,4,4200,6,30,-1,0,-1,-1,-1,-1,-1,14,1,2,2,-1,-1,0,1,1,2,1,0,16,10
2024,9,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,1,-1,6,2,23,5,1597,2,8,1,0,4,2024,6,1,1,4,-1,1,67,3,60,-1,0,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,2,3,1,1,0,10,6
2024,2,0,18,19,7,3,0,8,0,0,4,0,4,1,6,6,1,17,4,49,1,1,5,0,2,2024,12,2,1,5,-1,3,64,3,70,5,0,4,3,169,0,0,0,6,1,1,0,0,0,2,1,1,0,1,20,5
2024,2,0,-1,19,4,4,0,8,0,0,0,0,1,1,-1,9,1,17,4,49,1,6,1,0,1,2024,13,2,1,7,-1,3,658,6,30,-1,13,4,6,0,-1,-1,0,4,1,1,-1,-1,0,1,1,2,1,0,16,2
2024,3,0,18,19,3,6,0,8,0,0,0,0,1,1,6,6,1,17,4,125,1,3,1,0,1,2024,7,2,1,7,-1,3,562,6,40,6,16,2,5,0,0,5,15,1,1,1,0,0,0,1,1,2,0,1,14,1
2024,2,0,9,9,2,8,0,8,1,0,0,0,3,1,6,6,1,17,4,49,1,0,10,0,1,2024,43,1,1,7,-1,3,329,1,30,1,0,4,6,0,0,5,15,1,1,1,0,0,0,2,1,2,0,0,10,11
2024,19,0,-1,19,8,4,0,0,1,0,0,0,1,9,-1,6,2,19,4,1248,2,19,5,0,1,2024,22,2,1,3,-1,3,5,3,70,-1,0,-1,-1,-1,-1,-1,0,1,1,1,-1,-1,0,2,3,1,1,0,8,3
2024,9,0,-1,19,6,2,0,1,0,0,0,0,3,1,-1,9,2,17,4,-1,-1,-1,7,0,1,2024,63,4,2,3,-1,3,483,6,40,-1,13,4,6,0,-1,-1,0,4,1,1,-1,-1,0,2,1,-1,1,0,22,6
2024,19,0,3,3,7,3,0,0,0,0,0,0,2,1,6,6,1,22,5,1499,2,2,4,0,5,2024,52,2,1,3,-1,6,0,6,20,0,0,-1,0,-1,0,9,0,1,1,1,0,0,0,2,3,2,0,0,16,7
2024,19,0,-1,4,7,3,0,0,0,0,0,0,2,9,-1,1,1,25,5,1248,2,16,3,0,3,2024,42,3,2,7,-1,3,127,3,50,-1,0,-1,-1,-1,-1,-1,0,1,1,1,-1,-1,0,1,3,2,1,0,15,4
2024,9,0,18,19,5,1,0,0,1,4,0,0,1,1,6,6,1,22,5,1199,1,4,10,0,1,2024,1,2,2,5,-1,6,0,6,20,0,0,-1,0,-1,0,0,0,4,1,1,0,0,0,1,1,2,0,0,23,9
2024,9,0,-1,19,4,8,0,0,0,0,0,0,1,2,-1,1,1,25,5,-1,-1,-1,7,0,4,2024,6,1,1,5,-1,6,0,6,20,-1,0,-1,-1,-1,-1,-1,0,1,1,1,-1,-1,0,1,1,2,1,0,17,8
2024,19,0,-1,9,6,1,0,1,0,0,0,0,1,1,-1,2,1,25,5,1248,2,10,7,0,3,2024,99,2,1,6,-1,3,95,6,60,-1,13,4,3,9,-1,-1,0,1,1,1,-1,-1,0,2,1,-1,1,0,15,5
2024,19,0,-1,19,2,7,0,0,0,0,0,0,1,1,-1,1,1,24,5,-1,3,0,-1,0,-1,2024,99,1,1,7,-1,6,0,6,20,-1,0,-1,6,0,-1,-1,0,6,1,1,-1,-1,0,2,2,-1,1,0,23,6
2024,19,0,-1,19,7,3,0,0,1,0,0,0,1,9,-1,2,1,18,4,1248,2,8,2,0,4,2024,22,4,3,6,-1,3,5,3,70,-1,0,-1,-1,-1,-1,-1,0,6,1,2,-1,-1,0,2,1,1,1,0,17,2
2024,19,0,9,9,3,1,0,8,0,0,0,0,1,1,6,6,1,21,5,1598,2,11,10,0,1,2024,61,2,2,3,-1,6,0,6,20,3,13,4,6,0,0,0,0,1,1,1,0,0,0,1,1,-1,0,0,17,8
2024,19,0,-1,19,3,7,0,0,0,0,0,0,1,1,-1,1,1,21,5,1248,2,13,4,0,2,2024,35,2,2,2,-1,6,0,6,60,-1,0,-1,-1,-1,-1,-1,0,1,1,1,-1,-1,0,2,1,2,1,1,13,10
2024,9,0,-1,19,5,1,0,0,5,0,7,0,1,1,-1,9,1,22,5,-1,-1,-1,8,0,2,2024,16,2,2,7,-1,6,0,6,60,-1,0,-1,6,0,-1,-1,0,6,7,2,-1,-1,0,2,1,2,1,1,17,12
2024,19,0,-1,13,5,1,0,0,1,0,0,0,1,1,-1,9,1,25,5,1248,2,13,7,0,1,2024,6,2,1,1,-1,3,5106,6,40,-1,0,-1,6,0,-1,-1,0,1,1,1,-1,-1,0,2,1,2,1,1,17,5
2024,9,0,-1,19,8,4,0,0,5,0,7,11,1,2,-1,9,1,23,5,1783,1,25,4,0,3,2024,63,1,2,3,-1,3,470,6,60,-1,0,-1,-1,-1,-1,-1,0,6,2,2,-1,-1,0,2,1,-1,1,1,1,8
2024,9,0,18,19,3,7,0,0,0,0,0,0,1,1,6,6,1,23,5,1560,2,9,5,0,4,2024,12,2,4,1,-1,6,0,9,60,0,0,-1,0,-1,0,0,0,1,1,1,0,0,0,1,1,2,0,0,10,3
2024,9,0,-1,19,2,6,0,1,0,0,0,0,1,1,-1,9,1,22,5,1948,1,24,1,0,1,2024,6,3,1,4,-1,6,0,6,30,-1,16,2,6,0,-1,-1,0,4,1,1,-1,-1,0,1,1,2,1,0,21,9
2024,9,0,-1,19,7,3,0,1,5,0,3,10,1,1,-1,2,1,19,4,1969,1,7,7,0,2,2024,13,1,1,4,-1,6,0,6,30,-1,13,4,6,0,-1,-1,0,6,1,2,-1,-1,0,2,1,2,1,0,7,12
2024,9,0,18,19,2,6,0,8,0,0,0,0,1,1,6,6,1,22,5,1870,2,21,3,0,3,2024,7,2,1,1,-1,3,536,1,30,2,0,4,3,538,0,0,0,1,1,2,0,0,0,1,2,2,0,0,14,1
2024,9,0,18,19,7,3,0,0,0,0,0,0,1,1,6,6,1,22,5,1870,2,20,3,0,1,2024,44,2,1,6,-1,3,3055,6,30,0,0,-1,0,-1,0,0,0,1,1,1,0,0,0,2,1,2,0,0,13,8
2024,9,0,-1,13,2,6,0,0,1,0,7,11,1,1,-1,9,2,20,4,1560,2,11,5,0,1,2024,99,4,1,1,-1,3,938,6,60,-1,0,-1,6,0,-1,-1,0,1,1,1,-1,-1,0,2,1,-1,1,1,15,4
2024,2,0,-1,7,3,5,0,1,1,0,0,0,4,1,-1,9,1,17,4,49,1,22,4,0,1,2024,50,2,2,5,-1,6,0,6,30,-1,17,4,6,0,-1,-1,0,1,1,1,-1,-1,0,1,1,2,1,0,19,7
2024,5,0,18,19,8,4,0,8,0,0,0,0,1,1,6,6,1,25,5,600,1,12,9,0,1,2024,54,2,1,2,-1,3,338,6,30,3,13,4,6,0,0,0,0,1,1,1,0,0,0,1,1,2,0,1,12,1
2024,5,0,-1,19,1,1,0,1,2,0,2,0,1,1,-1,6,1,17,4,599,1,15,3,0,2,2024,13,4,2,2,-1,3,658,6,30,-1,19,4,6,0,-1,-1,0,1,1,2,-1,-1,17,1,1,2,1,1,13,10
2024,5,0,18,19,3,7,0,2,0,0,0,0,1,1,6,6,1,20,4,599,1,14,-1,0,-1,2024,1,2,1,2,-1,5,0,6,20,9,19,4,6,0,0,0,0,1,1,1,0,0,0,1,1,2,0,0,16,9
2024,5,0,18,19,5,1,0,3,0,0,0,0,1,1,2,2,1,24,5,599,1,14,4,0,4,2024,43,2,1,6,-1,3,4146,6,60,1,0,4,5,0,0,7,16,1,1,1,0,0,0,2,3,2,0,0,20,7
2024,5,0,18,19,6,2,0,0,0,0,7,0,0,1,6,6,1,22,5,599,1,14,9,0,4,2024,54,2,1,7,-1,3,361,6,60,0,0,-1,0,-1,0,0,0,1,1,1,0,0,0,2,1,2,0,1,15,6
2024,5,0,99,99,9,9,99,9,9,99,9,99,9,1,6,6,1,21,5,600,1,11,10,0,1,2024,1,2,1,2,-1,4,2230,6,30,3,13,4,6,0,0,4,14,4,1,1,0,0,0,1,3,2,0,0,23,8
2024,9,4,17,19,3,5,0,2,0,0,0,0,3,1,6,6,1,17,4,2495,2,35,5,0,1,2024,52,2,2,3,-1,6,0,6,60,3,13,4,6,0,0,0,0,1,2,2,0,0,0,2,1,2,0,0,19,8
